12/05/2011 15:32:14 (Info) 	---- Begining resource loading for GUI scheme 'MainUI' ----
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\20000001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 20000001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\20000001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '20000001Imageset' via XML file. (00D712C8)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\20100001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 20100001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\20100001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '20100001Imageset' via XML file. (00D80DB0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\20200001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 20200001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\20200001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '20200001Imageset' via XML file. (00D77B48)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\20300001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 20300001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\20300001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '20300001Imageset' via XML file. (00D9FF98)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\20400001.imageset'.
